source,target,weight
put down bottle,take saucepan,3
put down glass,turn off hob,4
put down glass,take saucepan,5
take saucepan,turn off hob,5
close tap,put down saucepan,2
close tap,put down spatula,8
close tap,take spatula,4
close tap,turn off hob,5
put down saucepan,put down spatula,18
put down saucepan,turn off hob,9
open cupboard,open fridge,658
open fridge,put down spatula,75
open fridge,put down container,56
open fridge,take plate,49
open fridge,put down plate,110
open fridge,take pan,29
open fridge,put down pan,54
open fridge,open tap,210
close tap,open fridge,156
close cupboard,open fridge,406
open fridge,turn on hob,48
close drawer,open fridge,358
open fridge,put down salt,29
open fridge,open fridge,248
open container,open fridge,36
close container,open fridge,35
open fridge,take knife,117
cut onion,open fridge,42
open fridge,put down knife,189
open fridge,take glass,22
open cupboard,put down container,192
open cupboard,put down plate,334
open cupboard,take pan,34
open cupboard,put down pan,178
close tap,open cupboard,235
open cupboard,turn on hob,86
put down container,put down spatula,27
put down spatula,take plate,22
put down plate,put down spatula,66
put down container,take container,18
take container,take plate,10
put down plate,take container,10
put down container,take spatula,3
take plate,take spatula,24
put down plate,take spatula,19
put down container,take plate,6
put down container,put down plate,104
put down plate,take plate,91
put down spatula,take pan,3
put down pan,take pan,12
open tap,take pan,31
close tap,take pan,26
take pan,take plate,74
put down plate,take pan,13
close cupboard,take pan,26
take pan,turn on hob,3
open drawer,take pan,29
close drawer,take pan,22
take pan,take spatula,7
put down pan,put down spatula,98
open tap,put down pan,71
close tap,put down pan,54
put down pan,take plate,21
put down pan,put down plate,141
open tap,take plate,152
open tap,put down plate,120
close tap,take plate,118
close tap,put down plate,75
close cupboard,put down pan,119
put down pan,turn on hob,52
open drawer,put down pan,217
close drawer,put down pan,155
put down pan,take spatula,2
close cupboard,close cupboard,339
close cupboard,turn on hob,51
close cupboard,close drawer,478
open drawer,turn on hob,81
close drawer,turn on hob,50
take spatula,turn on hob,3
put down salt,take container,3
close tap,take container,11
take container,take knife,23
cut onion,take container,2
take container,take glass,9
close cupboard,take container,22
open tap,put down salt,8
close tap,put down salt,8
close fridge,open container,19
close container,close fridge,23
close fridge,cut onion,38
close fridge,put down knife,139
close fridge,open tap,135
close fridge,close tap,104
close fridge,take glass,15
cut onion,take spatula,2
cut onion,take knife,35
put down knife,take knife,95
open tap,take knife,61
close tap,take knife,54
take glass,take knife,49
cut onion,put down knife,45
cut onion,open tap,55
close tap,cut onion,44
cut onion,take glass,8
cut onion,open cupboard,40
close cupboard,cut onion,25
close cupboard,put down knife,180
open tap,take glass,99
close cupboard,open tap,213
close tap,take glass,94
close cupboard,close tap,166
take glass,take glass,41
open cupboard,take glass,33
close cupboard,take glass,24
open bin,take plate,26
take plate,wipe counter,11
squeeze sponge,take plate,10
close bin,take plate,14
take fork,take plate,34
take cloth,take plate,46
dry hands,take plate,52
take plate,wash fork,10
put down cloth,take plate,9
take lid,take plate,15
take knife,take plate,115
close fridge,take plate,36
take bottle,take plate,63
put down bottle,take plate,6
close bottle,take plate,21
take plate,wash knife,22
put down knife,take plate,42
take plate,take plate,104
take plate,wash plate,69
put down colander,take plate,11
take plate,take saucepan,28
put down saucepan,take plate,11
take plate,wash pan,14
put down cutting board,take plate,16
put down sponge,take plate,14
take plate,take sponge,47
take plate,take spoon,111
take plate,wash spoon,16
rinse spoon,take plate,13
rinse pan,take plate,16
rinse sponge,take plate,18
rinse knife,take plate,21
rinse fork,take plate,10
put down fork,take plate,11
rinse plate,take plate,62
open bin,wipe counter,12
open bin,squeeze sponge,11
open bin,open bin,16
close bin,open bin,83
open bin,take fork,11
open bin,open tap,71
close tap,open bin,63
open bin,take cloth,12
dry hands,open bin,35
open bin,wash fork,4
open bin,put down cloth,9
open bin,open drawer,77
open bin,take lid,6
close lid,open bin,5
open bin,take container,6
open bin,open fridge,63
open bin,take knife,30
close fridge,open bin,51
open bin,take bottle,4
open bin,put down bottle,5
close bottle,open bin,5
open bin,wash knife,8
open bin,put down knife,39
open bin,wash plate,10
open bin,put down plate,27
open bin,take spatula,15
open bin,put down spatula,17
open bin,put down colander,7
open bin,take saucepan,14
open bin,put down saucepan,6
open bin,wash pan,8
open bin,put down pan,11
open bin,put down cutting board,13
open bin,put down sponge,33
open bin,take sponge,17
open bin,take spoon,31
open bin,wash spoon,9
open bin,rinse spoon,21
open bin,rinse pan,22
open bin,rinse sponge,33
open bin,rinse knife,18
open bin,rinse fork,8
open bin,put down fork,11
open bin,rinse plate,19
wipe counter,wipe counter,15
close bin,squeeze sponge,12
squeeze sponge,wipe counter,21
squeeze sponge,take fork,3
open tap,squeeze sponge,69
close tap,squeeze sponge,61
squeeze sponge,take cloth,4
dry hands,squeeze sponge,21
squeeze sponge,wash fork,16
put down cloth,squeeze sponge,7
open drawer,squeeze sponge,30
squeeze sponge,take lid,2
close lid,squeeze sponge,2
squeeze sponge,take container,2
open fridge,squeeze sponge,17
squeeze sponge,take knife,5
close fridge,squeeze sponge,18
squeeze sponge,take bottle,2
put down bottle,squeeze sponge,3
close bottle,squeeze sponge,2
squeeze sponge,wash knife,33
put down knife,squeeze sponge,19
squeeze sponge,wash plate,46
put down plate,squeeze sponge,30
squeeze sponge,take spatula,2
put down spatula,squeeze sponge,5
put down colander,squeeze sponge,3
close bin,wipe counter,9
open tap,take fork,46
close tap,take fork,24
take cloth,take fork,4
dry hands,take fork,57
take fork,wash fork,31
put down cloth,take fork,27
take fork,take lid,3
close lid,take fork,5
take fork,take knife,24
take bottle,take fork,2
put down bottle,take fork,12
close bottle,take fork,1
take fork,wash knife,20
put down knife,take fork,90
take fork,wash plate,15
put down plate,take fork,127
put down spatula,take fork,13
put down colander,take fork,6
open tap,take cloth,57
dry hands,open tap,145
close tap,take cloth,45
close tap,dry hands,112
dry hands,take cloth,21
put down cloth,wash fork,5
open drawer,wash fork,25
take lid,wash fork,4
close lid,wash fork,1
take container,wash fork,3
open fridge,wash fork,16
take knife,wash fork,7
close fridge,wash fork,11
take bottle,wash fork,1
put down bottle,wash fork,11
close bottle,wash fork,4
wash fork,wash knife,94
put down knife,wash fork,47
wash fork,wash plate,25
put down plate,wash fork,25
take spatula,wash fork,2
open tap,wash fork,48
put down spatula,wash fork,4
put down colander,wash fork,2
open drawer,put down cloth,259
put down cloth,take lid,3
close lid,put down cloth,2
put down cloth,take container,9
open fridge,put down cloth,39
open drawer,take lid,34
close lid,take lid,9
take container,take lid,13
open fridge,take lid,35
close lid,take container,5
close lid,open fridge,39
take bottle,take knife,14
put down bottle,take knife,6
close bottle,take knife,6
take knife,wash knife,49
take knife,wash plate,22
put down plate,take knife,59
put down colander,take knife,12
close fridge,take bottle,7
close fridge,put down bottle,57
close bottle,close fridge,46
put down bottle,take bottle,7
close bottle,take bottle,16
close bottle,put down bottle,33
put down knife,wash knife,100
wash knife,wash plate,37
put down plate,wash knife,36
take spatula,wash knife,8
open tap,wash knife,96
put down spatula,wash knife,12
put down colander,wash knife,5
put down knife,wash plate,44
put down knife,put down plate,186
put down colander,put down knife,23
put down plate,wash plate,111
take spatula,wash plate,7
open tap,wash plate,94
put down spatula,wash plate,7
put down colander,wash plate,17
put down colander,put down plate,37
put down colander,take spatula,5
open tap,put down colander,21
put down colander,put down spatula,12
close bin,take saucepan,5
close bin,put down saucepan,5
close bin,put down colander,4
close bin,wash pan,8
close bin,put down plate,21
close bin,put down pan,14
close bin,put down cutting board,12
close bin,put down sponge,34
close bin,take sponge,15
close bin,take spoon,11
close bin,wash spoon,3
close bin,open tap,71
close bin,rinse spoon,13
close bin,take spatula,8
close bin,put down spatula,13
close bin,rinse pan,21
close bin,rinse sponge,11
close bin,take knife,16
close bin,rinse knife,9
close bin,take fork,2
close bin,put down knife,31
close bin,rinse fork,2
close bin,put down fork,3
close bin,rinse plate,6
put down colander,take saucepan,10
take saucepan,wash pan,7
put down colander,put down saucepan,13
put down saucepan,wash pan,8
put down colander,wash pan,9
put down cutting board,put down plate,42
put down plate,put down sponge,100
put down plate,take sponge,37
put down plate,take spoon,35
put down plate,wash spoon,34
put down plate,rinse spoon,14
put down plate,take saucepan,22
put down plate,put down saucepan,27
put down plate,rinse pan,34
put down plate,wash pan,55
put down plate,rinse sponge,90
put down plate,rinse knife,30
put down plate,rinse fork,18
put down fork,put down plate,174
put down plate,rinse plate,258
put down plate,put down plate,254
put down cutting board,put down pan,28
put down pan,put down sponge,109
put down cutting board,put down sponge,18
take sponge,take spoon,44
take sponge,take sponge,55
take sponge,wash spoon,27
put down sponge,take sponge,71
open tap,take sponge,38
rinse spoon,take sponge,25
squeeze sponge,take sponge,7
put down colander,take sponge,7
take spatula,take sponge,25
put down spatula,take sponge,18
take saucepan,take sponge,6
put down saucepan,take sponge,6
rinse pan,take sponge,26
take sponge,wash pan,21
rinse sponge,take sponge,35
put down pan,take sponge,16
take knife,take sponge,39
rinse knife,take sponge,23
take fork,take sponge,15
put down knife,take sponge,26
rinse fork,take sponge,5
put down fork,take sponge,11
rinse plate,take sponge,23
put down cutting board,take sponge,8
take spoon,wash spoon,32
put down sponge,take spoon,10
rinse spoon,take spoon,18
put down sponge,wash spoon,20
open tap,wash spoon,190
rinse spoon,wash spoon,57
open tap,put down sponge,394
put down sponge,rinse spoon,70
open tap,rinse spoon,110
squeeze sponge,take saucepan,1
put down saucepan,squeeze sponge,21
rinse pan,squeeze sponge,15
squeeze sponge,wash pan,6
rinse sponge,squeeze sponge,122
put down pan,squeeze sponge,17
rinse knife,squeeze sponge,3
rinse fork,squeeze sponge,2
put down fork,squeeze sponge,2
rinse plate,squeeze sponge,9
put down cutting board,squeeze sponge,13
squeeze sponge,squeeze sponge,84
open tap,rinse pan,99
open tap,wash pan,26
open tap,rinse sponge,174
open tap,rinse knife,72
open tap,rinse fork,54
open tap,put down fork,89
open tap,rinse plate,171
open tap,put down cutting board,21
put down saucepan,rinse pan,6
wash pan,wash pan,23
rinse pan,rinse sponge,28
put down pan,rinse sponge,68
rinse sponge,take knife,17
rinse knife,rinse sponge,34
rinse sponge,take fork,34
put down knife,rinse sponge,79
rinse fork,rinse sponge,27
put down fork,rinse sponge,54
rinse plate,rinse sponge,54
put down cutting board,rinse sponge,24
put down pan,rinse pan,58
rinse pan,take knife,9
rinse knife,rinse pan,26
rinse pan,take fork,23
put down knife,rinse pan,28
rinse fork,rinse pan,18
put down fork,rinse pan,22
rinse pan,rinse plate,18
put down cutting board,rinse pan,3
put down pan,take knife,11
put down pan,rinse knife,12
put down pan,take fork,40
put down knife,put down pan,87
put down pan,rinse fork,9
put down fork,put down pan,71
put down pan,rinse plate,21
rinse knife,take knife,33
rinse fork,take knife,6
put down fork,take knife,16
rinse plate,take knife,28
rinse knife,take fork,38
put down knife,rinse knife,105
rinse fork,rinse knife,61
put down fork,rinse knife,40
rinse knife,rinse plate,40
put down cutting board,rinse knife,17
rinse fork,take fork,56
rinse plate,take fork,19
put down cutting board,take fork,4
put down knife,rinse fork,60
put down fork,put down knife,155
put down knife,rinse plate,50
put down cutting board,put down knife,64
put down fork,rinse fork,72
rinse fork,rinse plate,33
put down cutting board,rinse fork,5
put down fork,rinse plate,36
put down cutting board,put down fork,18
put down cutting board,rinse plate,7
open door,put down cup,8
open door,put down bag,3
close door,take cup,4
close door,put down cup,10
close door,put down bag,2
put down container,take cup,3
put down container,put down cup,37
close fridge,put down container,46
open drawer,put down container,136
put down container,take spoon,4
close drawer,put down container,97
put down container,put down spoon,68
close cupboard,put down container,155
open cupboard,put down cup,56
put down cup,take cup,18
open fridge,take cup,13
close fridge,take cup,9
take cup,take spoon,21
close drawer,take cup,15
put down spoon,take cup,8
close cupboard,take cup,18
open fridge,put down cup,19
close fridge,put down cup,17
open drawer,put down cup,67
put down cup,take spoon,18
close drawer,put down cup,50
put down cup,put down spoon,20
close cupboard,put down cup,58
open fridge,take spoon,72
open fridge,put down spoon,95
close drawer,close fridge,282
open fridge,put down bag,58
take container,take container,9
open tap,take cup,8
rinse spoon,take cup,4
rinse cup,take cup,28
rinse hands,take cup,3
close tap,take cup,7
dry hands,take cup,9
take bottle,take cup,2
open bottle,take cup,2
take cup,take glass,3
pour water,take cup,2
put down bottle,take cup,2
put down glass,take cup,2
take container,take cup,10
open tap,put down cup,31
put down cup,rinse spoon,9
put down cup,rinse cup,36
put down cup,rinse hands,25
close tap,put down cup,18
dry hands,put down cup,52
put down cup,take bottle,5
open bottle,put down cup,8
put down cup,take glass,6
pour water,put down cup,1
put down bottle,put down cup,7
put down cup,put down glass,29
put down cup,take container,3
open tap,rinse cup,35
open tap,rinse hands,210
open tap,take bottle,33
open bottle,open tap,30
open tap,pour water,91
rinse cup,rinse spoon,12
rinse hands,rinse spoon,18
close tap,rinse spoon,91
dry hands,rinse spoon,21
rinse spoon,take bottle,4
open bottle,rinse spoon,4
rinse spoon,take glass,5
pour water,rinse spoon,2
put down bottle,rinse spoon,9
put down glass,rinse spoon,30
rinse spoon,take container,5
rinse cup,rinse hands,3
close tap,rinse cup,17
dry hands,rinse cup,4
rinse cup,take bottle,3
open bottle,rinse cup,5
rinse cup,take glass,3
pour water,rinse cup,1
put down bottle,rinse cup,10
put down glass,rinse cup,20
rinse cup,take container,2
close tap,rinse hands,168
dry hands,rinse hands,250
rinse hands,take bottle,3
open bottle,rinse hands,25
rinse hands,take glass,9
pour water,rinse hands,19
put down bottle,rinse hands,29
put down glass,rinse hands,157
rinse hands,take container,11
close tap,take bottle,33
close tap,open bottle,32
close tap,pour water,68
close tap,put down bottle,31
close tap,put down glass,112
dry hands,take bottle,11
dry hands,open bottle,37
dry hands,take glass,17
dry hands,pour water,32
dry hands,put down bottle,34
dry hands,put down glass,108
dry hands,take container,12
open bottle,take bottle,20
take bottle,take glass,28
pour water,take bottle,15
put down glass,take bottle,5
take bottle,take container,2
open bottle,take glass,10
open bottle,pour water,38
open bottle,put down bottle,37
open bottle,put down glass,43
open bottle,take container,2
pour water,take glass,54
put down bottle,take glass,10
pour water,put down bottle,29
pour water,put down glass,33
pour water,take container,10
open fridge,pour salt,24
open fridge,put down cutting board,29
close bin,open fridge,45
dry hands,open fridge,161
open fridge,take saucepan,22
open fridge,take bottle,13
open bottle,open fridge,67
open fridge,turn on tap,375
open fridge,turn off tap,350
adjust hob,open fridge,31
open fridge,turn off hob,36
open fridge,put down saucepan,39
open fridge,put down colander,15
open fridge,put down oil,21
open fridge,wash pan,20
open fridge,take cloth,14
open fridge,put spoon,21
close drawer,take plate,58
pour salt,take plate,9
put down salt,take plate,5
put down spoon,take plate,14
close cupboard,take plate,89
put down bag,take plate,15
open bottle,take plate,16
take plate,turn on tap,98
take plate,turn off tap,104
adjust hob,take plate,13
take plate,turn off hob,5
put down oil,take plate,12
take glass,take plate,85
open drawer,pour salt,83
pour salt,take spoon,7
close drawer,pour salt,41
close drawer,put down salt,23
pour salt,put down salt,18
pour salt,put down spoon,43
dry hands,put down cutting board,45
close bin,dry hands,19
close bin,open cupboard,53
close bin,close cupboard,49
dry hands,open cupboard,344
close cupboard,dry hands,220
open drawer,put down plate,283
put down bag,put down plate,23
close drawer,put down plate,208
put down plate,take bottle,3
open bottle,put down plate,19
put down plate,turn on tap,345
put down plate,turn off tap,268
dry hands,put down plate,165
adjust hob,put down plate,23
put down plate,put down spoon,115
put down plate,turn off hob,30
put down oil,put down plate,18
put down plate,take lid,15
put down plate,take glass,12
put down plate,take cloth,12
put down cloth,put down plate,82
close cupboard,put down plate,216
put down bag,put down cutting board,5
open drawer,put down bag,63
put down bag,take knife,17
put down bag,put down knife,19
take fork,take saucepan,9
put down fork,take saucepan,5
take bottle,take saucepan,1
open bottle,take saucepan,1
take saucepan,turn on tap,40
take saucepan,turn off tap,33
dry hands,take saucepan,20
adjust hob,take saucepan,16
take saucepan,take saucepan,8
take knife,take saucepan,17
put down oil,take saucepan,6
take lid,take saucepan,7
close tap,take saucepan,13
take glass,take saucepan,6
take cloth,take saucepan,5
put down cloth,take saucepan,4
close cupboard,take saucepan,52
open drawer,take bottle,11
open bottle,open drawer,47
open drawer,turn on tap,743
open drawer,turn off tap,684
close drawer,take fork,61
open bottle,take fork,1
take fork,turn on tap,83
take fork,turn off tap,62
close drawer,put down fork,111
close drawer,open bottle,47
close drawer,turn on tap,517
close drawer,turn off tap,468
put down fork,take bottle,1
open bottle,put down fork,1
put down fork,turn on tap,124
put down fork,turn off tap,87
take bottle,turn on tap,25
take bottle,turn off tap,27
open bottle,turn on tap,66
open bottle,turn off tap,60
turn off tap,turn on tap,2171
open bin,open cupboard,91
open cupboard,turn off tap,886
open cupboard,put down colander,38
open cupboard,take lid,47
open cupboard,take fork,173
open cupboard,wash pan,42
open cupboard,take cloth,17
open cupboard,put down cloth,207
open bin,turn off tap,52
adjust hob,open bin,7
open bin,put down spoon,26
close bin,turn off tap,25
adjust hob,close bin,4
close bin,open drawer,60
close bin,put down spoon,19
dry hands,turn off tap,439
adjust hob,turn off tap,61
take spoon,turn off tap,85
put down spoon,turn off tap,185
adjust hob,dry hands,24
dry hands,dry hands,110
dry hands,open drawer,361
dry hands,take spoon,33
dry hands,put down spoon,52
adjust hob,adjust hob,22
adjust hob,take spoon,14
adjust hob,put down spoon,39
adjust hob,close drawer,59
adjust hob,take knife,15
adjust hob,put down knife,31
adjust hob,turn off hob,11
adjust hob,put down saucepan,8
adjust hob,put down colander,8
adjust hob,put down oil,10
open drawer,put down colander,34
close drawer,take knife,91
close drawer,put down colander,26
close drawer,put down oil,31
take knife,turn off hob,3
put down saucepan,take knife,15
put down oil,take knife,12
put down knife,put down oil,23
put down colander,turn off hob,3
put down oil,turn off hob,1
put down oil,put down saucepan,1
put down colander,put down oil,2
take lid,wash pan,4
close tap,take lid,3
take glass,take lid,2
put down oil,take lid,4
take knife,take lid,30
take cloth,take lid,3
put down knife,take lid,25
take lid,take spatula,7
put down spatula,take lid,12
close cupboard,take lid,20
take fork,wash pan,3
close tap,wash pan,19
put down oil,take glass,2
take cloth,take glass,37
open drawer,take glass,19
put down cloth,take glass,3
open drawer,take cloth,24
take cloth,take knife,28
put down knife,take cloth,12
take cloth,take spatula,3
put down cloth,take cloth,16
put down spatula,take cloth,6
close cupboard,take cloth,15
put down cloth,take knife,6
put down cloth,put down knife,74
put down cloth,take spatula,1
put down cloth,put down spatula,68
close cupboard,put down cloth,141
close fridge,put spoon,16
close fridge,take cloth,8
close fridge,dry hands,115
close bin,close fridge,32
close cupboard,put spoon,53
close tap,take spoon,59
close tap,open drawer,283
close tap,put spoon,58
put spoon,take spoon,123
take cloth,take spoon,10
take knife,take spoon,63
open drawer,put spoon,47
close drawer,put spoon,41
put spoon,take cloth,7
put spoon,take knife,14
put down knife,put spoon,1
close drawer,take cloth,12
close drawer,put down cutting board,64
put down cutting board,take saucepan,1
put down cutting board,take cloth,9
dry hands,put down knife,127
dry hands,take knife,39
close drawer,dry hands,276
take cloth,take cloth,14
close bin,take cloth,9
rinse cloth,take plate,3
take plate,wash sink,1
put down washing up liquid,take plate,3
take plate,wash glass,1
put down glass,take plate,13
rinse glass,take plate,8
put down knife,turn off tap,221
put down knife,rinse cloth,25
put down knife,wipe counter,9
put down knife,turn on tap,271
put down knife,wash sink,5
put down knife,put down washing up liquid,19
put down knife,wash spoon,41
put down knife,wash glass,20
put down knife,take pan,9
put down knife,wash pan,18
put down knife,put down sponge,79
put down knife,rinse glass,58
put down knife,rinse spoon,31
rinse cloth,turn off tap,169
turn off tap,turn off tap,698
turn off tap,wipe counter,48
turn off tap,wash sink,87
rinse cloth,wipe counter,10
rinse cloth,turn on tap,170
rinse cloth,rinse cloth,84
rinse cloth,wash sink,65
dry hands,rinse cloth,76
rinse cloth,take bottle,4
turn on tap,wipe counter,39
wash sink,wipe counter,3
dry hands,wipe counter,7
take bottle,wipe counter,3
turn on tap,wash sink,74
dry hands,turn on tap,410
dry hands,wash sink,28
take bottle,wash sink,1
put down washing up liquid,take sponge,8
put down washing up liquid,take fork,7
open bin,take glass,7
open bin,wash glass,2
open bin,put down glass,24
open bin,turn on tap,51
open bin,take pan,3
open bin,rinse glass,7
open bin,rinse cloth,19
open tap,wash glass,37
put down fork,wash fork,56
take spoon,wash fork,5
wash fork,wash spoon,59
put down spoon,wash fork,28
put down cutting board,wash fork,2
take glass,wash fork,2
wash fork,wash glass,15
put down fork,take spoon,9
put down fork,wash spoon,23
put down fork,put down spoon,77
put down fork,wash knife,45
put down fork,take glass,1
put down fork,wash glass,11
take spoon,wash knife,16
take spoon,wash glass,3
put down spoon,wash spoon,64
take knife,wash spoon,6
wash knife,wash spoon,92
put down cutting board,wash spoon,6
take glass,wash spoon,5
wash glass,wash spoon,27
put down spoon,take knife,27
put down spoon,wash knife,44
put down spoon,take glass,7
put down spoon,wash glass,27
take knife,wash glass,4
put down cutting board,wash knife,9
wash knife,wash knife,56
take glass,wash knife,8
wash glass,wash knife,34
put down cutting board,take glass,6
put down cutting board,wash glass,10
take glass,wash glass,15
close bin,put down glass,19
close bin,turn on tap,31
close bin,wash plate,2
